ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
2025-09-24 19:30:11.345289727+00:00,160,1,432669,T,B,64.83,5,26,8058566315609,0,17271,94228169,CLX5
2025-09-24 19:30:11.345289727+00:00,160,1,432669,F,A,64.83,1,26,8058566315123,0,17271,94228169,CLX5
2025-09-24 19:30:11.345289727+00:00,160,1,432669,F,A,64.83,1,26,8058566315148,0,17271,94228169,CLX5
2025-09-24 19:30:11.345289727+00:00,160,1,432669,F,A,64.83,2,26,8058566315151,0,17271,94228169,CLX5
2025-09-24 19:30:11.345289727+00:00,160,1,432669,F,A,64.83,1,26,8058566315154,0,17271,94228169,CLX5
2025-09-24 19:30:11.345289727+00:00,160,1,432669,C,A,64.83,1,26,8058566315123,0,15268,94228170,CLX5
2025-09-24 19:30:11.345289727+00:00,160,1,432669,C,A,64.83,1,26,8058566315148,0,15268,94228170,CLX5
2025-09-24 19:30:11.345289727+00:00,160,1,432669,C,A,64.83,2,26,8058566315151,0,15268,94228170,CLX5
2025-09-24 19:30:11.345289727+00:00,160,1,432669,C,A,64.83,1,26,8058566315154,128,15268,94228170,CLX5
2025-09-24 19:30:11.345300899+00:00,160,1,432669,A,B,64.83,2,26,8058566315610,128,17521,94228173,CLX5
2025-09-24 19:30:11.345639399+00:00,160,1,432669,A,B,64.82,2,26,8058566315615,128,15632,94228190,CLX5
2025-09-24 19:30:11.345665491+00:00,160,1,432669,A,B,64.82,1,26,8058566315620,128,15812,94228202,CLX5
2025-09-24 19:30:11.345669083+00:00,160,1,432669,A,A,64.84,1,26,8058566315621,128,15744,94228203,CLX5
2025-09-24 19:30:11.345712415+00:00,160,1,432669,A,B,64.83,2,26,8058566315625,128,14878,94228214,CLX5
2025-09-24 19:30:11.345726027+00:00,160,1,432669,A,B,64.83,1,26,8058566315626,128,17306,94228222,CLX5
2025-09-24 19:30:11.345763599+00:00,160,1,432669,A,B,64.82,3,26,8058566315628,128,15081,94228230,CLX5
2025-09-24 19:30:11.345784681+00:00,160,1,432669,A,B,64.83,2,26,8058566315630,128,17189,94228236,CLX5
2025-09-24 19:30:11.345784857+00:00,160,1,432669,A,B,64.83,1,26,8058566315631,128,19409,94228237,CLX5
2025-09-24 19:30:11.345818393+00:00,160,1,432669,A,B,64.83,1,26,8058566315632,128,19333,94228241,CLX5
2025-09-24 19:30:11.345942247+00:00,160,1,432669,C,A,64.84,1,26,8058566308520,128,15090,94228246,CLX5
2025-09-24 19:30:11.347058333+00:00,160,1,432669,M,B,64.82,3,26,8058566311409,128,15672,94228289,CLX5
2025-09-24 19:30:11.347763287+00:00,160,1,432669,A,B,64.83,1,26,8058566315658,128,19582,94228324,CLX5
2025-09-24 19:30:11.347779357+00:00,160,1,432669,M,B,64.82,4,26,8058566315208,128,15345,94228325,CLX5
2025-09-24 19:30:11.347812149+00:00,160,1,432669,M,B,64.82,3,26,8058566315208,128,14285,94228326,CLX5
2025-09-24 19:30:11.347900715+00:00,160,1,432669,M,B,64.82,2,26,8058566315208,128,18396,94228328,CLX5
2025-09-24 19:30:11.349191685+00:00,160,1,432669,A,B,64.82,1,26,8058566315665,128,17625,94228369,CLX5
2025-09-24 19:30:11.349237975+00:00,160,1,432669,A,B,64.82,1,26,8058566315666,128,19059,94228375,CLX5
2025-09-24 19:30:11.349265735+00:00,160,1,432669,A,B,64.82,1,26,8058566315667,128,15187,94228376,CLX5
2025-09-24 19:30:11.349752685+00:00,160,1,432669,M,B,64.82,1,26,8058566315208,128,15202,94228382,CLX5
2025-09-24 19:30:11.350671805+00:00,160,1,432669,A,B,64.8,1,26,8058566315674,128,18315,94228400,CLX5
2025-09-24 19:30:11.351820395+00:00,160,1,432669,A,B,64.83,1,26,8058566315677,128,15710,94228416,CLX5
